,img_url,,,,,,,,,
54,coolidge-jennifer-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/coolidge-jennifer-medium.jpg,"
4


Eddie","Murphy,","61

Movie","Actor

",,,
55,lopez-george-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/lopez-george-medium.jpg,"
5


George","Clooney,","61

Movie","Actor

",,,
56,baskin-carole-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/baskin-carole-medium.jpg,"
6


Billy",Ray,"Cyrus,","61

Country","Singer

",,
57,fox-michael-movieactor-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/fox-michael-movieactor-medium.jpg,"
7


Jennifer","Coolidge,","61

Movie","Actress

",,,
58,george-boy-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/george-boy-medium.jpg,"
8


George","Lopez,","61

Comedian

",,,,
59,rodman-dennis-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/rodman-dennis-medium.jpg,"
9


Carole","Baskin,","61


Activist

",,,,
60,gretzky-wayne-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/gretzky-wayne-medium.jpg,"
10


Michael",J.,"Fox,","61

Movie","Actor

",,
61,hillenburg-stephen-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/hillenburg-stephen-medium.jpg,"
11


Boy","George,","61

Pop","Singer

",,,
62,swift-phil-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/swift-phil-medium.jpg,"
12


Dennis","Rodman,","61

Basketball","Player

",,,
63,derbez-eugenio-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/derbez-eugenio-medium.jpg,"
13


Wayne","Gretzky,","61

Hockey","Player

",,,
64,boyle-susan-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/boyle-susan-medium.jpg,"
14


Stephen",Hillenburg,"(1961-2018)

Director

",,,,
65,harrelson-woody-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/harrelson-woody-medium.jpg,"
15


Phil","Swift,","61

YouTube","Star

",,,
66,jackson-singer-randy-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/jackson-singer-randy-medium.jpg,"
16


Eugenio","Derbez,","61

TV","Actor

",,,
67,gervais-ricky-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/gervais-ricky-medium.jpg,"
17


Susan","Boyle,","61

Pop","Singer

",,,
68,comaneci-nadia-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/comaneci-nadia-medium.jpg,"
18


Woody","Harrelson,","61

TV","Actor

",,,
69,widodo-joko-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/widodo-joko-medium.jpg,"
19


Randy","Jackson,","61

Pop","Singer

",,,
70,mustaine-dave-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/mustaine-dave-medium.jpg,"
20


Ricky","Gervais,","61

Comedian

",,,,
71,probst-jeff-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/probst-jeff-medium.jpg,"
21


Nadia","Comaneci,","61

Gymnast

",,,,
72,ryan-meg-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/ryan-meg-medium.jpg,"
22


Joko","Widodo,","61

Politician

",,,,
73,neil-vince-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/neil-vince-medium.jpg,"
23


Dave","Mustaine,","61

Metal","Singer

",,,
74,lawton-larry-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/lawton-larry-medium.jpg,"
24


Jeff","Probst,","61

Game",Show,"Host

",,
75,keith-toby-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/keith-toby-medium.jpg,"
25


Meg","Ryan,","61

Movie","Actress

",,,
76,dreyfus-julia-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/dreyfus-julia-medium.jpg,"
26


Vince","Neil,","61

Metal","Singer

",,,
77,benson-jodi-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/benson-jodi-medium.jpg,"
27


Larry","Lawton,","61

YouTube","Star

",,,
78,carlyle-robert-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/carlyle-robert-medium.jpg,"
28


Toby","Keith,","61

Country","Singer

",,,
79,enya-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/enya-medium.jpg,"
29


Julia","Louis-Dreyfus,","62

TV","Actress

",,,
80,thomas-isiah-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/thomas-isiah-medium.jpg,"
30


Jodi","Benson,","61

Voice","Actress

",,,
81,ford-tom-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/ford-tom-medium.jpg,"
31


Robert","Carlyle,","61

Movie","Actor

",,,
82,amato-bruno-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/amato-bruno-medium.jpg,"
32


Enya,","61

World",Music,"Singer

",,,
83,sweat-keith-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/sweat-keith-medium.jpg,"
33


Isiah","Thomas,","61

Basketball","Player

",,,
84,diab-amr-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/diab-amr-medium.jpg,"
34


Tom","Ford,","61

Fashion","Designer

",,,
85,chung-jackie-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/chung-jackie-medium.jpg,"
35


Bruno","Amato,","61

Movie","Actor

",,,
86,thompson-lea-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/thompson-lea-medium.jpg,"
36


Keith","Sweat,","61

R&B","Singer

",,,
87,tom-lauren-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/tom-lauren-medium.jpg,"
37


Amr","Diab,","61

World",Music,"Singer

",,
88,vives-carlos-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/vives-carlos-medium.jpg,"
38


Jackie","Chung,","61

TV","Actress

",,,
89,whitaker-forest-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/whitaker-forest-medium.jpg,"
39


Lea","Thompson,","61

Movie","Actress

",,,
90,gandolfini-james-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/gandolfini-james-medium.jpg,"
40


Lauren","Tom,","61

Voice","Actress

",,,
91,meloni-christopher-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/meloni-christopher-medium.jpg,"
41


Carlos","Vives,","61

Pop","Singer

",,,
92,marino-dan-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/marino-dan-medium.jpg,"
42


Forest","Whitaker,","61

Movie","Actor

",,,
93,wheeler-maggie-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/wheeler-maggie-medium.jpg,"
43


James",Gandolfini,"(1961-2013)

TV","Actor

",,,
94,owens-rick-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/owens-rick-medium.jpg,"
44


Christopher","Meloni,","61

TV","Actor

",,,
95,background: url(https://www.famousbirthdays.com/faces/large-default.jpg,1961,https://www.famousbirthdays.com/thumbnails/background: url(https://www.famousbirthdays.com/faces/large-default.jpg,"
45


Dan","Marino,","61

Football","Player

",,,
96,cruise-t-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/cruise-t-medium.jpg,"
46


Maggie","Wheeler,","61

TV","Actress

",,,
97,carrey-jim-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/carrey-jim-medium.jpg,"
47


Rick","Owens,","61

Fashion","Designer

",,,
98,jovi-jon-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/jovi-jon-medium.jpg,"
48


Sheikh",Mohammed,bin,Zayed,Al,"Nahyan,","61

Prince

"
102,lee-tommy-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/lee-tommy-medium.jpg,"
1


Tom","Cruise,","60

Movie","Actor

",,,
103,rose-axl-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/rose-axl-medium.jpg,"
2


Jim","Carrey,","60

Movie","Actor

",,,
104,spade-kate-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/spade-kate-medium.jpg,"
3


Jon",Bon,"Jovi,","60

Rock","Singer

",,
105,moore-demi-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/moore-demi-medium.jpg,"
4


Steve","Carell,","60

TV","Actor

",,,
106,hammett-kirk-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/hammett-kirk-medium.jpg,"
5


Steve",Irwin,"(1962-2006)

Reality","Star

",,,
107,fiennes-ralph-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/fiennes-ralph-medium.jpg,"
6


Tom","Kenny,","60

Voice","Actor

",,,
108,odenkirk-bob-tvactor-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/odenkirk-bob-tvactor-medium.jpg,"
7


Tommy","Lee,","60

Drummer

",,,,
109,gibson-thomas-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/gibson-thomas-medium.jpg,"
8


Axl","Rose,","60

Rock","Singer

",,,
110,brooks-garth-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/brooks-garth-medium.jpg,"
9


Kate",Spade,"(1962-2018)

Fashion","Designer

",,,
111,abdul-paula-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/abdul-paula-medium.jpg,"
10


Demi","Moore,","60

Movie","Actress

",,,
112,hammer-mc-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/hammer-mc-medium.jpg,"
11


Kirk","Hammett,","60

Guitarist

",,,,
113,dunham-jeff-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/dunham-jeff-medium.jpg,"
12


Ralph","Fiennes,","60

Movie","Actor

",,,
114,yeoh-michelle-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/yeoh-michelle-medium.jpg,"
13


Bob","Odenkirk,","60

TV","Actor

",,,
115,bol-manute-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/bol-manute-medium.jpg,"
14


Thomas","Gibson,","60

TV","Actor

",,,
116,rice-jerry-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/rice-jerry-medium.jpg,"
15


Garth","Brooks,","60

Country","Singer

",,,
117,schofield-phillip-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/schofield-phillip-medium.jpg,"
16


Paula","Abdul,","60

Pop","Singer

",,,
118,foster-jodie-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/foster-jodie-medium.jpg,"
17


MC","Hammer,","60

Rapper

",,,,
119,kramer-eric-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/kramer-eric-medium.jpg,"
18


Jeff","Dunham,","60

Ventriloquist

",,,,
120,jackson-bo-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/jackson-bo-medium.jpg,"
19


Michelle","Yeoh,","60

Movie","Actress

",,,
121,estevez-emilio-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/estevez-emilio-medium.jpg,"
20


Manute",Bol,"(1962-2010)

Basketball","Player

",,,
122,burton-cliff-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/burton-cliff-medium.jpg,"
21


Jerry","Rice,","60

Football","Player

",,,
123,preston-kelly-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/preston-kelly-medium.jpg,"
22


Phillip","Schofield,","60

TV",Show,"Host

",,
124,mccarthy-andrew-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/mccarthy-andrew-medium.jpg,"
23


Jodie","Foster,","60

Movie","Actress

",,,
125,broderick-matthew-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/broderick-matthew-medium.jpg,"
24


Eric",Allan,"Kramer,","60

TV","Actor

",,
126,flea-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/flea-medium.jpg,"
25


Bo","Jackson,","60

Baseball","Player

",,,
127,peterson-jordan-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/peterson-jordan-medium.jpg,"
26


Emilio","Estevez,","60

Movie","Actor

",,,
128,newell-gabe-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/newell-gabe-medium.jpg,"
27


Cliff",Burton,"(1962-1986)

Bassist

",,,,
129,brown-alton-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/brown-alton-medium.jpg,"
28


Kelly",Preston,"(1962-2020)

Movie","Actress

",,,
130,snipes-wesley-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/snipes-wesley-medium.jpg,"
29


Andrew","McCarthy,","60

Movie","Actor

",,,
131,kiedis-anthony-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/kiedis-anthony-medium.jpg,"
30


Matthew","Broderick,","60

Movie","Actor

",,,
132,odonnell-r-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/odonnell-r-medium.jpg,"
31


Flea,","60

Bassist

",,,,,
133,crow-sheryl-medium.jpg,1962,https://www.famousbirthdays.com/thumbnails/crow-sheryl-medium.jpg,"
32


Jordan","Peterson,","60

Psychologist

",,,,
