,img_url,Text
86,background: url(https://www.famousbirthdays.com/thumbnails/thompson-lea-medium.jpg) no-repeat center center; background-size:cover;,"
36


Keith Sweat, 61

R&B Singer

"
87,background: url(https://www.famousbirthdays.com/thumbnails/tom-lauren-medium.jpg) no-repeat center center; background-size:cover;,"
37


Amr Diab, 61

World Music Singer

"
88,background: url(https://www.famousbirthdays.com/thumbnails/vives-carlos-medium.jpg) no-repeat center center; background-size:cover;,"
38


Jackie Chung, 61

TV Actress

"
89,background: url(https://www.famousbirthdays.com/thumbnails/whitaker-forest-medium.jpg) no-repeat center center; background-size:cover;,"
39


Lea Thompson, 61

Movie Actress

"
90,background: url(https://www.famousbirthdays.com/thumbnails/gandolfini-james-medium.jpg) no-repeat center center; background-size:cover;,"
40


Lauren Tom, 61

Voice Actress

"
91,background: url(https://www.famousbirthdays.com/thumbnails/meloni-christopher-medium.jpg) no-repeat center center; background-size:cover;,"
41


Carlos Vives, 61

Pop Singer

"
92,background: url(https://www.famousbirthdays.com/thumbnails/marino-dan-medium.jpg) no-repeat center center; background-size:cover;,"
42


Forest Whitaker, 61

Movie Actor

"
93,background: url(https://www.famousbirthdays.com/thumbnails/wheeler-maggie-medium.jpg) no-repeat center center; background-size:cover;,"
43


James Gandolfini (1961-2013)

TV Actor

"
94,background: url(https://www.famousbirthdays.com/thumbnails/owens-rick-medium.jpg) no-repeat center center; background-size:cover;,"
44


Christopher Meloni, 61

TV Actor

"
95,background: url(https://www.famousbirthdays.com/faces/large-default.jpg) no-repeat center center; background-size:cover;,"
45


Dan Marino, 61

Football Player

"
96,background: url(https://www.famousbirthdays.com/thumbnails/cruise-t-medium.jpg) no-repeat center center; background-size:cover;,"
46


Maggie Wheeler, 61

TV Actress

"
97,background: url(https://www.famousbirthdays.com/thumbnails/carrey-jim-medium.jpg) no-repeat center center; background-size:cover;,"
47


Rick Owens, 61

Fashion Designer

"
98,background: url(https://www.famousbirthdays.com/thumbnails/jovi-jon-medium.jpg) no-repeat center center; background-size:cover;,"
48


Sheikh Mohammed bin Zayed Al Nahyan, 61

Prince

"
99,background: url(https://www.famousbirthdays.com/thumbnails/carell-steve-medium.jpg) no-repeat center center; background-size:cover;,1961 Movies
100,background: url(https://www.famousbirthdays.com/thumbnails/irwin-steve-medium.jpg) no-repeat center center; background-size:cover;,1960s Shows
101,background: url(https://www.famousbirthdays.com/thumbnails/kenny-tom-medium.jpg) no-repeat center center; background-size:cover;,Died in 1961
102,background: url(https://www.famousbirthdays.com/thumbnails/lee-tommy-medium.jpg) no-repeat center center; background-size:cover;,"
1


Tom Cruise, 60

Movie Actor

"
103,background: url(https://www.famousbirthdays.com/thumbnails/rose-axl-medium.jpg) no-repeat center center; background-size:cover;,"
2


Jim Carrey, 60

Movie Actor

"
104,background: url(https://www.famousbirthdays.com/thumbnails/spade-kate-medium.jpg) no-repeat center center; background-size:cover;,"
3


Jon Bon Jovi, 60

Rock Singer

"
105,background: url(https://www.famousbirthdays.com/thumbnails/moore-demi-medium.jpg) no-repeat center center; background-size:cover;,"
4


Steve Carell, 60

TV Actor

"
106,background: url(https://www.famousbirthdays.com/thumbnails/hammett-kirk-medium.jpg) no-repeat center center; background-size:cover;,"
5


Steve Irwin (1962-2006)

Reality Star

"
107,background: url(https://www.famousbirthdays.com/thumbnails/fiennes-ralph-medium.jpg) no-repeat center center; background-size:cover;,"
6


Tom Kenny, 60

Voice Actor

"
108,background: url(https://www.famousbirthdays.com/thumbnails/odenkirk-bob-tvactor-medium.jpg) no-repeat center center; background-size:cover;,"
7


Tommy Lee, 60

Drummer

"
109,background: url(https://www.famousbirthdays.com/thumbnails/gibson-thomas-medium.jpg) no-repeat center center; background-size:cover;,"
8


Axl Rose, 60

Rock Singer

"
110,background: url(https://www.famousbirthdays.com/thumbnails/brooks-garth-medium.jpg) no-repeat center center; background-size:cover;,"
9


Kate Spade (1962-2018)

Fashion Designer

"
111,background: url(https://www.famousbirthdays.com/thumbnails/abdul-paula-medium.jpg) no-repeat center center; background-size:cover;,"
10


Demi Moore, 60

Movie Actress

"
112,background: url(https://www.famousbirthdays.com/thumbnails/hammer-mc-medium.jpg) no-repeat center center; background-size:cover;,"
11


Kirk Hammett, 60

Guitarist

"
113,background: url(https://www.famousbirthdays.com/thumbnails/dunham-jeff-medium.jpg) no-repeat center center; background-size:cover;,"
12


Ralph Fiennes, 60

Movie Actor

"
114,background: url(https://www.famousbirthdays.com/thumbnails/yeoh-michelle-medium.jpg) no-repeat center center; background-size:cover;,"
13


Bob Odenkirk, 60

TV Actor

"
115,background: url(https://www.famousbirthdays.com/thumbnails/bol-manute-medium.jpg) no-repeat center center; background-size:cover;,"
14


Thomas Gibson, 60

TV Actor

"
